Сorp.ID;Speaker;gender;Recording;URL;Context;Token;Realization;Year;ph.context;age.in.2019
63354;анп1929;f;N20130623e;http://www.parasolcorpus.org/Pushkino/OUT/N20130623e-1031408-1033386.wav; #Женщины# пахали, а мы боронили.;Женщины;ʂ:;1929;son;90
62012;анп1929;f;N20130623e;http://www.parasolcorpus.org/Pushkino/OUT/N20130623e-403902-407652.wav; #Женщины# - и те нрзб, да...;Женщины;ʂtʂ;1929;son;90
302811;анп1929;f;20130705c-egp;http://www.parasolcorpus.org/Pushkino/OUT/20130705c-egp-2702988-2705883.wav;Конь = а коню уж #ищет# , где...;ищет;ɕ:;1929;intervoc;90
65681;анп1929;f;N20130623e;http://www.parasolcorpus.org/Pushkino/OUT/N20130623e-2133234-2139629.wav;<? > были. #Кладовщики# , кладовщики да сразу ещё вот и... вот это.;Кладовщики;ʂ:;1929;fr;90
65683;анп1929;f;N20130623e;http://www.parasolcorpus.org/Pushkino/OUT/N20130623e-2133234-2139629.wav;<? > были. Кладовщики, #кладовщики# да сразу ещё вот и... вот это.;кладовщики;ʂ:;1929;fr;90
304528;анп1929;f;20130705c-egp;http://www.parasolcorpus.org/Pushkino/OUT/20130705c-egp-3415106-3417376.wav;По направлению, в #общем# .;общем;ʂ:;1929;stop;90
64352;анп1929;f;N20130623e;http://www.parasolcorpus.org/Pushkino/OUT/N20130623e-1516357-1517772.wav;В #общем# , там;общем;ʂ:;1929;stop;90
300938;анп1929;f;20130705c-egp;http://www.parasolcorpus.org/Pushkino/OUT/20130705c-egp-1913753-1916016.wav;< Делаешь, как #община# . >;община;ʂtʂ;1929;stop;90
64938;анп1929;f;N20130623e;http://www.parasolcorpus.org/Pushkino/OUT/N20130623e-1786103-1789556.wav; #Площадь# пилой <? > толстой <? > дедовой...;Площадь;ɕ:;1929;intervoc;90
304324;анп1929;f;20130705c-egp;http://www.parasolcorpus.org/Pushkino/OUT/20130705c-egp-3321856-3325669.wav;Детей много было. Четыре было, четыре #помещения# .;помещения;ʂ:;1929;intervoc;90
304334;анп1929;f;20130705c-egp;http://www.parasolcorpus.org/Pushkino/OUT/20130705c-egp-3326456-3330290.wav;Ниже два и выше два было - четыре #помещения# .;помещения;ʂ:;1929;intervoc;90
343447;анс1925;f;20130705a-ans;http://www.parasolcorpus.org/Pushkino/OUT/20130705a-ans-1434466-1439563.wav;Да, да! Не шестом, а проволока #большущая# , толстущая, дак тянешь ей.;большущая;ʂtʂ;1925;intervoc;94
71787;анс1925;f;20140628b-ans;http://www.parasolcorpus.org/Pushkino/OUT/20140628b-ans-2707816-2712673.wav;Одна копна сделается #большущая# копна, а есть и зароды делают.;большущая;ʂtʂ;1925;intervoc;94
353770;анс1925;f;20140628b-ans;http://www.parasolcorpus.org/Pushkino/OUT/20140628b-ans-2763051-2767685.wav;Ой, что ты, ой, #большущие# , большущие;большущие;ʂtʂ;1925;intervoc;94
353772;анс1925;f;20140628b-ans;http://www.parasolcorpus.org/Pushkino/OUT/20140628b-ans-2763051-2767685.wav;Ой, что ты, ой, большущие, #большущие# ;большущие;ʂtʂ;1925;intervoc;94
1237;анс1925;f;20140622c-ans-1b;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1b-669913-675513.wav;Загнетешь, насолишь, загнетешь и... гнет #большущий# положишь.;большущий;ʂ:;1925;intervoc;94
1844;анс1925;f;20140622c-ans-1b;http://www.parasolcorpus.org/Pushkino/OUT/20140622c-ans-1b-1049360-1051772.wav;Памятник #большущий# , вот тут.;большущий;ʂtʂ;1925;intervoc;94
262843;анс1925;f;20160630g-ans-1;http://www.parasolcorpus.org/Pushkino/OUT/20160630g-ans-1-2295922-2316990.wav;Воды нальёшь, да тамоки они крест спустят, да там чего - то накла = положат ещё дак, и ё = тут и поют, крестят, крестят, #вытащат# да, умоют, да опять укупнут да.;вытащат;ʂtʂ;1925;intervoc;94
72204;анс1925;f;20140628b-ans;http://www.parasolcorpus.org/Pushkino/OUT/20140628b-ans-2989129-2994054.wav;Ну, сейчас кидают #ещё# мало, на другую приедут.;ещё;ʂ:;1925;intervoc;94
260393;анс1925;f;20160630g-ans-1;http://www.parasolcorpus.org/Pushkino/OUT/20160630g-ans-1-739307-747050.wav;Робить - то мне < из рода > нельзя, а я #ещё# поробила - то в саду... и поробила немного.;ещё;ʂ:;1925;intervoc;94
263303;анс1925;f;20160630g-ans-1;http://www.parasolcorpus.org/Pushkino/OUT/20160630g-ans-1-2669877-2675849.wav;Ёлочки - то он насадил, тогда #ещё# маленькие насадил;ещё;ʂ:;1925;intervoc;94
264259;анс1925;f;20160630g-ans-1;http://www.parasolcorpus.org/Pushkino/OUT/20160630g-ans-1-3163407-3169397.wav;[ говорит по телефону ] Да... да #ещё# за место платил пятьдесят рублей!;ещё;ʂ:;1925;intervoc;94
70980;анс1925;f;20140628b-ans;http://www.parasolcorpus.org/Pushkino/OUT/20140628b-ans-2250493-2255406.wav;Уйдёшь ни свет ни заря #ещё# и придёшь - поди десять часов вечера.;ещё;ʂtʂ;1925;intervoc;94
260672;анс1925;f;20160630g-ans-1;http://www.parasolcorpus.org/Pushkino/OUT/20160630g-ans-1-967629-974337.wav;Мужики пришли #ещё# , мужики, дружки евонные, дак доокучивали.;ещё;ʂtʂ;1925;intervoc;94
261737;анс1925;f;20160630g-ans-1;http://www.parasolcorpus.org/Pushkino/OUT/20160630g-ans-1-1603182-1609321.wav;А придешь - то да скота #ещё# полно, надо гоиться, всё в потёмках.;ещё;ʂtʂ;1925;intervoc;94
262139;анс1925;f;20160630g-ans-1;http://www.parasolcorpus.org/Pushkino/OUT/20160630g-ans-1-1851170-1865297.wav;Угоишься, встанешь #ещё# не... и солнышко ещё не это, не зашло, а встанешь, печь вытопишь да, угоишься да. Бежать!;ещё;ʂtʂ;1925;intervoc;94
262247;анс1925;f;20160630g-ans-1;http://www.parasolcorpus.org/Pushkino/OUT/20160630g-ans-1-1920669-1928355.wav;Старые - то раньше #ещё# почистили, а теперь никто... < Камене = > о = каменек, конечно, каменья есть!;ещё;ʂtʂ;1925;intervoc;94
263653;анс1925;f;20160630g-ans-1;http://www.parasolcorpus.org/Pushkino/OUT/20160630g-ans-1-2927278-2934907.wav;[ говорит по телефону ] Алё, да. Добрый вечер. Нет, #ещё# Вася не мерял.;ещё;ʂtʂ;1925;intervoc;94
264603;анс1925;f;20160630g-ans-1;http://www.parasolcorpus.org/Pushkino/OUT/20160630g-ans-1-3313360-3320130.wav;[ говорит по телефону ] Да ничего сегодня... Ходила сегодня #ещё# к Борьке тамоки гости.;ещё;ʂtʂ;1925;intervoc;94
262146;анс1925;f;20160630g-ans-1;http://www.parasolcorpus.org/Pushkino/OUT/20160630g-ans-1-1851170-1865297.wav;Угоишься, встанешь ещё не... и солнышко #ещё# не это, не зашло, а встанешь, печь вытопишь да, угоишься да. Бежать!;ещё;ʂtʂ;1925;intervoc;94
344255;анс1925;f;20130705a-ans;http://www.parasolcorpus.org/Pushkino/OUT/20130705a-ans-1938659-1940956.wav;Нет, то я #ещё# не в лесу робила.;ещё;ʂ:;1925;intervoc;94
